loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d,collections_12_mths_ex_med,policy_code,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,hardship_flag,disbursement_method,debt_settlement_flag,is_default
30000,30000,30000.0, 36 months,22.35,1151.16,D,D5,Supervisor ,5 years,MORTGAGE,100000.0,Source Verified,Dec-2018,Fully Paid,n,debt_consolidation,Debt consolidation,917xx,CA,30.46,0,Jan-2012,0,11,1,15603,37.0,19,w,0.0,0.0,30026.4425,30026.44,30000.0,26.44,0.0,0.0,0.0,Jan-2019,30082.32,Jan-2019,0,1,Joint App,0,0,472330,1,3,2,2,2.0,82850,75.0,0,1,9713,60.0,42200,1,1,3,4,42939.0,15181.0,46.9,0,0,83.0,73,23,2,1,23.0,8.0,0,3,4,3,5,10,6,8,4,11,0.0,0,0,2,89.5,33.3,1,0,527120,98453,28600,101984,N,Cash,N,0
40000,40000,40000.0, 60 months,16.14,975.71,C,C4,Assistant to the Treasurer (Payroll),< 1 year,MORTGAGE,45000.0,Verified,Dec-2018,Fully Paid,n,credit_card,Credit card refinancing,456xx,OH,50.53,0,Jun-2009,0,18,0,34971,64.5,37,w,0.0,0.0,40856.678960349,40856.68,40000.0,856.68,0.0,0.0,0.0,Feb-2019,40910.48,Feb-2019,0,1,Joint App,0,0,271068,2,8,3,4,5.0,126749,87.0,1,1,5874,75.0,54200,4,2,4,5,15059.0,14930.0,67.3,0,0,114.0,70,2,2,1,2.0,9.0,0,7,9,7,7,26,9,10,9,18,0.0,0,0,4,100.0,42.9,0,0,344802,161720,45700,167965,N,Cash,N,0
20000,20000,20000.0, 36 months,7.56,622.68,A,A3,Teacher,10+ years,MORTGAGE,100000.0,Not Verified,Dec-2018,Fully Paid,n,credit_card,Credit card refinancing,982xx,WA,18.92,0,Feb-1999,0,9,0,25416,29.9,19,w,0.0,0.0,20215.79243,20215.79,20000.0,215.79,0.0,0.0,0.0,Feb-2019,20228.39,Feb-2019,0,1,Joint App,0,0,515779,1,2,0,1,13.0,46153,71.0,1,2,9759,39.0,85100,2,2,0,5,57309.0,59684.0,29.9,0,0,171.0,238,1,1,5,1.0,13.0,0,5,5,5,6,5,5,9,5,9,0.0,0,0,1,94.7,20.0,0,0,622183,71569,85100,74833,N,Cash,N,0
4500,4500,4500.0, 36 months,11.31,147.99,B,B3,Accounts Examiner III,10+ years,RENT,38500.0,Not Verified,Dec-2018,Fully Paid,n,credit_card,Credit card refinancing,786xx,TX,4.64,0,Dec-2003,0,12,0,4472,15.3,25,w,0.0,0.0,4549.2171485504,4549.22,4500.0,49.22,0.0,0.0,0.0,Feb-2019,4553.46,Feb-2019,0,1,Individual,0,306,29137,2,1,1,1,3.0,24665,100.0,3,7,3612,54.0,29200,0,3,3,8,2428.0,10735.0,28.9,0,0,180.0,69,2,2,0,2.0,6.0,1,3,5,5,6,10,11,15,5,12,0.0,0,0,4,91.7,0.0,0,0,53795,29137,15100,24595,N,Cash,N,0
8425,8425,8425.0, 36 months,27.27,345.18,E,E5,Senior Director Risk Management,3 years,MORTGAGE,450000.0,Verified,Dec-2018,Fully Paid,n,credit_card,Credit card refinancing,020xx,MA,12.37,0,Oct-1997,0,21,0,36812,65.7,37,w,0.0,0.0,8735.1489749534,8735.15,8425.0,310.15,0.0,0.0,0.0,Feb-2019,8754.3,Feb-2019,0,1,Joint App,0,0,690320,0,6,1,6,12.0,152382,70.0,1,4,9744,68.0,56000,7,0,5,10,34516.0,11632.0,74.6,0,0,254.0,89,12,12,4,18.0,4.0,0,6,8,8,10,16,13,17,8,21,0.0,0,0,2,100.0,50.0,0,0,768304,189194,45800,189054,N,Cash,N,0
20000,20000,20000.0, 60 months,17.97,507.55,D,D1,Front office Lead,4 years,RENT,57000.0,Not Verified,Dec-2018,Fully Paid,n,debt_consolidation,Debt consolidation,981xx,WA,22.18,0,Apr-1995,0,10,0,33356,45.9,16,w,0.0,0.0,20013.5773333332,20013.58,20000.0,13.58,0.0,0.0,0.0,Jan-2019,20043.53,Jan-2019,0,1,Individual,0,0,33356,2,0,0,0,78.0,0,75.0,2,3,18416,46.0,72700,0,0,0,3,3336.0,32170.0,50.4,0,0,78.0,284,5,5,1,27.0,17.0,0,4,7,6,9,1,10,14,7,10,0.0,0,0,2,100.0,33.3,0,0,72700,33356,64800,0,N,Cash,N,0
6600,6600,6325.0, 36 months,11.31,217.05,B,B3,Sewell collision center,10+ years,RENT,45000.0,Not Verified,Dec-2018,Fully Paid,n,credit_card,Credit card refinancing,750xx,TX,16.21,0,Apr-2009,0,6,0,6167,58.2,13,f,0.0,0.0,6622.8090000603,6346.86,6600.0,22.81,0.0,0.0,0.0,Jan-2019,6629.03,Feb-2019,0,1,Individual,0,0,26836,0,2,0,0,27.0,20669,74.0,0,2,3356,70.0,10600,0,1,0,2,4473.0,4433.0,58.2,0,0,116.0,108,18,18,0,18.0,5.0,0,2,2,4,4,5,4,8,2,6,0.0,0,0,0,84.6,50.0,0,0,38607,26836,10600,28007,N,Cash,N,0
2500,2500,2475.0, 36 months,13.56,84.92,C,C1,Manager,5 years,RENT,42000.0,Not Verified,Dec-2018,Fully Paid,n,other,Other,194xx,PA,15.09,0,Mar-2004,0,3,0,3319,31.6,6,f,0.0,0.0,2501.285666669,2476.27,2500.0,1.29,0.0,0.0,0.0,Jan-2019,2504.11,Jan-2019,0,1,Individual,0,0,18649,1,1,0,1,22.0,15330,69.0,1,2,2792,57.0,10500,2,0,1,3,6216.0,7181.0,31.6,0,0,177.0,177,5,5,0,5.0,12.0,0,2,2,2,2,3,2,3,2,3,0.0,0,0,1,83.3,0.0,0,0,32582,18649,10500,22082,N,Cash,N,0
4000,4000,4000.0, 36 months,17.97,144.55,D,D1,service advisor,5 years,MORTGAGE,60000.0,Source Verified,Dec-2018,Fully Paid,n,house,Home buying,760xx,TX,19.1,0,Jun-2007,1,11,0,382,7.3,18,w,0.0,0.0,4049.9166666676,4049.92,4000.0,49.92,0.0,0.0,0.0,Feb-2019,55.91,Jan-2019,0,1,Individual,0,0,106556,2,3,3,4,1.0,45868,77.0,1,6,378,72.0,5200,3,0,3,10,9687.0,3818.0,9.1,0,0,57.0,31,12,1,2,15.0,2.0,1,2,2,5,5,9,7,7,2,11,0.0,0,0,4,88.2,0.0,0,0,127200,46250,4200,59474,N,Cash,N,0
2700,2700,2675.0, 36 months,8.19,84.85,A,A4,Stylist,4 years,OWN,24000.0,Not Verified,Dec-2018,Fully Paid,n,credit_card,Credit card refinancing,481xx,MI,24.95,0,Oct-2002,0,21,1,2696,36.4,28,f,0.0,0.0,2700.8381300019,2675.83,2700.0,0.84,0.0,0.0,0.0,Jan-2019,2702.68,Feb-2019,0,1,Individual,0,449,75363,0,17,0,3,16.0,72667,103.0,0,1,2696,97.0,7400,1,0,0,4,3589.0,3304.0,44.9,0,0,130.0,194,19,16,0,19.0,18.0,0,1,1,2,4,21,4,7,1,21,0.0,0,0,0,100.0,0.0,1,0,78017,75363,6000,70617,N,Cash,N,0
